activity_label,query_action_key,total_evaluated,correct,incorrect,unknown,tp,tn,fp,fn,accuracy
abseiling,carrying_baby,7,7,0,0,0,7,0,0,1.0000
abseiling,cleaning,7,2,5,0,0,2,5,0,0.2857
abseiling,cleaning_floor,7,7,0,0,0,7,0,0,1.0000
abseiling,cleaning_shoes,7,7,0,0,0,7,0,0,1.0000
abseiling,cleaning_windows,7,7,0,0,0,7,0,0,1.0000
abseiling,cooking_chicken,7,7,0,0,0,7,0,0,1.0000
abseiling,decorating_christmas_tree,7,7,0,0,0,7,0,0,1.0000
abseiling,flipping_pancake,7,7,0,0,0,7,0,0,1.0000
abseiling,folding_clothes,7,6,1,0,0,6,1,0,0.8571
abseiling,mowing_lawn,7,7,0,0,0,7,0,0,1.0000
abseiling,petting_animal,7,7,0,0,0,7,0,0,1.0000
abseiling,reading_book,7,7,0,0,0,7,0,0,1.0000
abseiling,sanding_floor,7,7,0,0,0,7,0,0,1.0000
abseiling,using_computer,7,7,0,0,0,7,0,0,1.0000
abseiling,washing_dishes,6,6,0,0,0,6,0,0,1.0000
air_drumming,carrying_baby,21,14,7,0,0,14,7,0,0.6667
air_drumming,cleaning,21,19,2,0,0,19,2,0,0.9048
air_drumming,cleaning_floor,21,21,0,0,0,21,0,0,1.0000
air_drumming,cleaning_shoes,21,20,1,0,0,20,1,0,0.9524
air_drumming,cleaning_windows,21,21,0,0,0,21,0,0,1.0000
air_drumming,cooking_chicken,21,21,0,0,0,21,0,0,1.0000
air_drumming,decorating_christmas_tree,21,21,0,0,0,21,0,0,1.0000
air_drumming,flipping_pancake,21,21,0,0,0,21,0,0,1.0000
air_drumming,folding_clothes,21,21,0,0,0,21,0,0,1.0000
air_drumming,mowing_lawn,21,21,0,0,0,21,0,0,1.0000
air_drumming,petting_animal,21,21,0,0,0,21,0,0,1.0000
air_drumming,reading_book,21,21,0,0,0,21,0,0,1.0000
air_drumming,sanding_floor,21,21,0,0,0,21,0,0,1.0000
air_drumming,using_computer,21,18,3,0,0,18,3,0,0.8571
air_drumming,washing_dishes,21,21,0,0,0,21,0,0,1.0000
arm_wrestling,carrying_baby,12,9,3,0,0,9,3,0,0.7500
arm_wrestling,cleaning,12,10,2,0,0,10,2,0,0.8333
arm_wrestling,cleaning_floor,12,12,0,0,0,12,0,0,1.0000
arm_wrestling,cleaning_shoes,12,12,0,0,0,12,0,0,1.0000
arm_wrestling,cleaning_windows,12,12,0,0,0,12,0,0,1.0000
arm_wrestling,cooking_chicken,12,12,0,0,0,12,0,0,1.0000
arm_wrestling,decorating_christmas_tree,12,9,3,0,0,9,3,0,0.7500
arm_wrestling,flipping_pancake,12,12,0,0,0,12,0,0,1.0000
arm_wrestling,folding_clothes,12,7,5,0,0,7,5,0,0.5833
arm_wrestling,mowing_lawn,12,12,0,0,0,12,0,0,1.0000
arm_wrestling,petting_animal,12,12,0,0,0,12,0,0,1.0000
arm_wrestling,reading_book,12,12,0,0,0,12,0,0,1.0000
arm_wrestling,sanding_floor,12,12,0,0,0,12,0,0,1.0000
arm_wrestling,using_computer,12,12,0,0,0,12,0,0,1.0000
arm_wrestling,washing_dishes,12,12,0,0,0,12,0,0,1.0000
auctioning,carrying_baby,3,3,0,0,0,3,0,0,1.0000
auctioning,cleaning,3,3,0,0,0,3,0,0,1.0000
auctioning,cleaning_floor,3,3,0,0,0,3,0,0,1.0000
auctioning,cleaning_shoes,3,3,0,0,0,3,0,0,1.0000
auctioning,cleaning_windows,3,3,0,0,0,3,0,0,1.0000
auctioning,cooking_chicken,3,3,0,0,0,3,0,0,1.0000
auctioning,decorating_christmas_tree,3,2,1,0,0,2,1,0,0.6667
auctioning,flipping_pancake,3,3,0,0,0,3,0,0,1.0000
auctioning,folding_clothes,3,3,0,0,0,3,0,0,1.0000
auctioning,mowing_lawn,3,3,0,0,0,3,0,0,1.0000
auctioning,petting_animal,3,3,0,0,0,3,0,0,1.0000
auctioning,reading_book,3,3,0,0,0,3,0,0,1.0000
auctioning,sanding_floor,3,3,0,0,0,3,0,0,1.0000
auctioning,using_computer,3,1,2,0,0,1,2,0,0.3333
auctioning,washing_dishes,3,3,0,0,0,3,0,0,1.0000
baby_waking_up,carrying_baby,15,7,8,0,7,0,0,8,0.4667
baby_waking_up,cleaning,15,15,0,0,0,15,0,0,1.0000
baby_waking_up,cleaning_floor,15,15,0,0,0,15,0,0,1.0000
baby_waking_up,cleaning_shoes,15,15,0,0,0,15,0,0,1.0000
baby_waking_up,cleaning_windows,15,15,0,0,0,15,0,0,1.0000
baby_waking_up,cooking_chicken,15,15,0,0,0,15,0,0,1.0000
baby_waking_up,decorating_christmas_tree,15,15,0,0,0,15,0,0,1.0000
baby_waking_up,flipping_pancake,15,15,0,0,0,15,0,0,1.0000
baby_waking_up,folding_clothes,15,15,0,0,0,15,0,0,1.0000
baby_waking_up,mowing_lawn,15,15,0,0,0,15,0,0,1.0000
baby_waking_up,petting_animal,15,15,0,0,0,15,0,0,1.0000
baby_waking_up,reading_book,15,15,0,0,0,15,0,0,1.0000
baby_waking_up,sanding_floor,15,15,0,0,0,15,0,0,1.0000
baby_waking_up,using_computer,15,15,0,0,0,15,0,0,1.0000
baby_waking_up,washing_dishes,15,15,0,0,0,15,0,0,1.0000
baking_cookies,carrying_baby,6,6,0,0,0,6,0,0,1.0000
baking_cookies,cleaning,6,6,0,0,0,6,0,0,1.0000
baking_cookies,cleaning_floor,6,6,0,0,0,6,0,0,1.0000
baking_cookies,cleaning_shoes,6,6,0,0,0,6,0,0,1.0000
baking_cookies,cleaning_windows,6,6,0,0,0,6,0,0,1.0000
baking_cookies,cooking_chicken,6,0,6,0,0,0,0,6,0.0000
baking_cookies,decorating_christmas_tree,6,6,0,0,0,6,0,0,1.0000
baking_cookies,flipping_pancake,6,0,6,0,0,0,0,6,0.0000
baking_cookies,folding_clothes,6,6,0,0,0,6,0,0,1.0000
baking_cookies,mowing_lawn,6,6,0,0,0,6,0,0,1.0000
baking_cookies,petting_animal,6,6,0,0,0,6,0,0,1.0000
baking_cookies,reading_book,6,6,0,0,0,6,0,0,1.0000
baking_cookies,sanding_floor,6,6,0,0,0,6,0,0,1.0000
baking_cookies,using_computer,6,6,0,0,0,6,0,0,1.0000
baking_cookies,washing_dishes,6,6,0,0,0,6,0,0,1.0000
balloon_blowing,carrying_baby,12,12,0,0,0,12,0,0,1.0000
balloon_blowing,cleaning,12,11,1,0,0,11,1,0,0.9167
balloon_blowing,cleaning_floor,12,12,0,0,0,12,0,0,1.0000
balloon_blowing,cleaning_shoes,12,12,0,0,0,12,0,0,1.0000
balloon_blowing,cleaning_windows,12,12,0,0,0,12,0,0,1.0000
balloon_blowing,cooking_chicken,12,12,0,0,0,12,0,0,1.0000
balloon_blowing,decorating_christmas_tree,12,11,1,0,0,11,1,0,0.9167
balloon_blowing,flipping_pancake,12,12,0,0,0,12,0,0,1.0000
balloon_blowing,folding_clothes,12,12,0,0,0,12,0,0,1.0000
balloon_blowing,mowing_lawn,12,12,0,0,0,12,0,0,1.0000
balloon_blowing,petting_animal,12,12,0,0,0,12,0,0,1.0000
balloon_blowing,reading_book,12,12,0,0,0,12,0,0,1.0000
balloon_blowing,sanding_floor,12,12,0,0,0,12,0,0,1.0000
balloon_blowing,using_computer,12,12,0,0,0,12,0,0,1.0000
balloon_blowing,washing_dishes,12,12,0,0,0,12,0,0,1.0000
bee_keeping,carrying_baby,3,3,0,0,0,3,0,0,1.0000
bee_keeping,cleaning,3,0,3,0,0,0,3,0,0.0000
bee_keeping,cleaning_floor,3,3,0,0,0,3,0,0,1.0000
bee_keeping,cleaning_shoes,3,3,0,0,0,3,0,0,1.0000
bee_keeping,cleaning_windows,3,3,0,0,0,3,0,0,1.0000
bee_keeping,cooking_chicken,3,3,0,0,0,3,0,0,1.0000
bee_keeping,decorating_christmas_tree,3,3,0,0,0,3,0,0,1.0000
bee_keeping,flipping_pancake,3,3,0,0,0,3,0,0,1.0000
bee_keeping,folding_clothes,3,3,0,0,0,3,0,0,1.0000
bee_keeping,mowing_lawn,3,3,0,0,0,3,0,0,1.0000
bee_keeping,petting_animal,3,3,0,0,0,3,0,0,1.0000
bee_keeping,reading_book,3,3,0,0,0,3,0,0,1.0000
bee_keeping,sanding_floor,3,3,0,0,0,3,0,0,1.0000
bee_keeping,using_computer,3,3,0,0,0,3,0,0,1.0000
bee_keeping,washing_dishes,3,3,0,0,0,3,0,0,1.0000
belly_dancing,carrying_baby,9,8,1,0,0,8,1,0,0.8889
belly_dancing,cleaning,9,9,0,0,0,9,0,0,1.0000
belly_dancing,cleaning_floor,9,9,0,0,0,9,0,0,1.0000
belly_dancing,cleaning_shoes,9,9,0,0,0,9,0,0,1.0000
belly_dancing,cleaning_windows,9,9,0,0,0,9,0,0,1.0000
belly_dancing,cooking_chicken,9,9,0,0,0,9,0,0,1.0000
